Food Moved KG - All,member_id,Food Moved KG - Eatwell Fruit and Veg
18331.26,119,6272.75
10786.83,121,2658.95
16967.36,122,5445.55
14556.57,570,6518.28
14471.32,574,5014.78
11814.7,575,4946.29
27762.08,577,6388.6
21361.81,579,7407.91
14191.59,934,5205.6
12624.8,935,5273
13980.83,937,3094.1
27459.06,942,9658.54
19432.12,946,7416.85
15897.34,947,6247.66
16695.8,959,5987.6
15575.62,969,6312.9
1531.52,976,437.4
6770.75,977,2358.05
24486.494,983,9963.414
12943.25,992,3276.5
19576.94,994,2299.65
13906.86,1439,5697.71
14323.96,1444,5962.43
19545.18,1445,7466.71
1568.9,1446,423.8
8534.32,1447,1066.96
17438.19,2466,7193.15
13467.61,2724,5894.93
977.48,2942,134.3
7421.47,2965,2784.42
16822.97,2966,5888.52
13003.21,3144,5342.19
14792.93,3145,6229.53
16128.26,3147,6065.3
10366.855,3268,4416.34
15046.13,3287,6113.4
15955.796,3317,5837.4
1110.84,3362,350
238.3,3363,34.8
11935.15,3376,4471.27
136.15,3391,54
635.65,3392,256.1
92.9,3393,45
11578.8,3527,4783.81
3786.92,3539,1422.15
28144.964,3577,10181.204
0,3600,0
14838.31,3660,5001.62
0,3662,598.5
2191.76,3677,6642.05
17273.6,3730,6676.87
16622.06,3745,5902.75
15621.736,3894,6653.14
17976.58,3906,1254.56
3831.18,3936,6373.92
16882.106,3992,5404.08
13662.6,4084,7355.92
24430.157,4101,6530.97
13883.04,4158,6119.68
14803.66,4574,8422.85
22255.276,4583,5814.63
13298.18,4628,4454.85
11749.71,4665,6807.894
28147.024,4732,5039.51
14173.04,4743,251.8
1063.65,4902,76.2
144.9,4904,87.5
245.675,4921,6553.48
15921.69,5155,298.4
1181.09,5347,61.1
130.44,5354,619.3
1555,5357,274.2
698.94,5438,315.1
888.1,5456,5862.93
16016.4,5479,27
1116.44,5507,4608.42
12614.302,5524,5920.6
14242.09,5645,7001.9
17459,5648,5222.86
15445.986,5703,3717.17
9948.21,5733,4540
12330.11,5735,4715.38
12979.88,5802,0
0,5804,4322.95
8.4,5808,6686.05
11612.13,5877,7598.16
17300.12,5914,1625.11
20405.2,5977,4933.95
6141.52,6016,4754.65
12566.56,6049,5504
12993.93,6061,19.35
16117.1,6171,7231.75
124.15,6204,377.5
4,6281,5245.81
20418,6282,4815.41
1855.6,6853,4829.46
11901.04,6916,5705.98
10826.46,6920,814.2
11569.13,6992,6515.9
16538.42,7014,4510.9
2119.365,7045,6137.49
15905.33,7070,6622.7
16917.11,7191,48776.42
16277.8,7264,6403.99
15535.55,7295,6233.87
160414.35,7379,6432.77
15700.4,7415,3869.3
13342.11,7420,0
17694.47,7452,10412.27
11236.01,7485,9736.35
3.55271E-15,7646,2933.35
28412.81,7702,117.6
27186.13,7703,6208.55
7938.25,7709,2142.6
396.4,7717,5671.61
17011.441,7862,1732.7
4357.3,7997,4532.25
14313.94,8014,3115.08
2121,8018,5142.08
12001.3,8019,6085.114
7537.494,8020,6431.78
12695.52,8035,4349.41
16250.176,8142,5743.61
16181.86,8256,4549.55
10220.97,8331,7760.1
14870.94,8503,1473.714
11571.48,8526,3922.544
20542.03,8556,262.15
4315.952,8675,1438.214
11563.614,8681,581.4
856.01,8684,961.2
4684.952,8694,262.15
11690.25,9312,262.15
5417.63,9320,302.2
856.01,9323,302.2
856.01,9342,1254.13
748.57,9343,1788.43
748.57,9344,871.38
3827.39,9360,1766.014
5789.33,9388,617.9
3018.49,9389,1549.264
5468.474,9416,1189.5
90.2,9418,1302.45
1941.19,9421,1824.68
5017.934,9422,1724.214
4053.79,9424,1101.18
3589.23,9425,1768.16
4591.378,9427,52
5437.174,9447,2480.26
4278.65,9461,350.3
5290.11,9462,7425.42
462.69,9463,408.3
7652.67,9464,2054.09
1215.7,9467,4642.05
20130.08,9468,5234.95
1219.31,9475,7123.87
6883.928,9476,415.1
12257.9,9482,405
13418.85,9495,280.3
15914.69,9496,1769.06
1477.34,9525,6239.42
1547.95,9532,2090.862
873.25,9534,4960.18
5504.41,9535,6672.67
15815.05,9564,1808.06
6108.352,9583,1223.78
13412.16,9644,803.48
19365.17,9669,6022.63
5950.218,9688,2714.38
3579.99,9694,22.35
2499.4,9707,112.4
15515.88,9794,972.94
6202.96,9833,273.9
131.05,9856,5851.93
559.62,9857,1318.998
2631.28,9858,1724.13
582.74,9891,1389.78
15608.402,9901,302.2
4376.718,9903,7547.05
5532.65,9961,493.6
4862.34,9962,6439.21
748.57,9980,1702.53
19711.04,9990,0
1883.12,9997,346.5
17546.71,10032,1769.65
5702.61,10094,1817.45
0,10124,844.3
1090.74,10127,6499.75
5675.79,10136,2779.39
84.7,10137,1438.88
5509.41,10167,1924.912
2893.63,10168,6578.06
15585.07,10170,0
8873.12,10200,5576.15
4835.7,10220,4901.9
5712.722,10222,621.8
17017.5,10241,5549.93
0,10428,6569.814
19056.88,10446,913.5
13247.62,10528,5822.09
1717.58,10540,17.6
13827.06,10541,6543.75
18328.004,10548,9209.06
2836.1,10558,6608.16
15669.76,10575,1921.36
101.2,10590,7049.779
16632.32,10625,546.5
26306.45,10642,235.6
19047.75,10662,55
6757.7,10690,5955.34
4440.08,10730,2070.35
17741.749,10751,2438.5
1349.84,10806,5282.27
903.36,10807,4072.08
178.9,10808,4462.62
16116.09,10913,4427.214
11012.77,11011,2758.68
6876.04,11275,641.4
14316.572,11276,2640.98
10140.17,11656,3013.998
11894.48,11657,2703.2
11476.014,11702,2589.102
7413.062,11936,1899.65
1471.74,11954,1801.32
6048.37,11975,1221.6
7677.268,11976,1170.5
8225.54,11994,1018.9
7331.292,12015,1140
5228.72,12117,1127.6
4767.5,12156,594.8
3066.48,12203,751.8
3020.62,12219,710.75
2619.85,12222,557.5
2874.56,12224,196.6
2665.66,12402,149.3
1411.2,12464,0
1634.92,12476,0
1666.33,12500,0
1868,12503,0
621.5,12588,0
476.36,12636,0
